City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Olsztyn,PL,53.7799,20.4942,35.56,84,18,6.02,few clouds
173,Alim,PH,9.5649,122.4876,80.65,80,87,3.87,overcast clouds
174,Savalou,BJ,7.9281,1.9756,74.43,90,46,2.89,light rain
175,Lalibela,ET,12.0333,39.0333,60.03,68,98,3.91,overcast clouds
176,Abha,SA,18.2164,42.5053,62.42,21,0,0.0,clear sky
177,Corinto,GR,37.9407,22.9573,67.89,73,81,2.53,broken clouds
178,Ilo,PE,-17.6394,-71.3375,61.7,78,3,7.09,clear sky
179,Nikolskoye,RU,59.7035,30.7861,44.49,88,100,8.25,overcast clouds
180,Adrar,MR,20.5022,-10.0711,92.14,19,70,8.19,broken clouds
181,Souillac,MU,-20.5167,57.5167,70.18,78,40,8.05,scattered clouds
182,Kaitangata,NZ,-46.2817,169.8464,52.23,44,43,0.98,scattered clouds
183,Margate,GB,51.3813,1.3862,46.31,66,61,4.9,broken clouds
184,Sioux Lookout,CA,50.1001,-91.917,71.67,43,40,9.22,scattered clouds
185,Esperance,AU,-33.8667,121.9,46.24,70,53,15.61,broken clouds
186,Villanueva,HN,15.3167,-88.0,88.03,78,20,13.8,few clouds
187,Mvuma,ZW,-19.2792,30.5283,59.29,50,0,6.67,clear sky
188,Poopo,BO,-18.3667,-66.9667,57.97,8,0,27.85,clear sky
189,Mosetse,BW,-20.75,26.65,74.95,32,0,18.23,clear sky
190,Thunder Bay,CA,48.4001,-89.3168,60.78,59,75,9.22,broken clouds
191,Avera,US,33.194,-82.5271,78.39,65,98,10.56,overcast clouds
192,Yellowknife,CA,62.456,-114.3525,34.32,80,100,25.32,overcast clouds
193,Wattegama,LK,6.7989,81.4808,74.39,92,52,3.8,broken clouds
194,Lata,PT,40.1629,-8.3327,62.08,93,0,1.41,clear sky
195,Rio Gallegos,AR,-51.6226,-69.2181,50.05,37,40,27.63,scattered clouds
196,Geraldton,AU,-28.7667,114.6,43.21,87,40,2.3,scattered clouds
197,Grafton,US,42.207,-71.6856,61.34,65,0,6.91,clear sky
198,Vestmannaeyjar,IS,63.4427,-20.2734,45.16,75,96,22.15,overcast clouds
199,Yerofey Pavlovich,RU,53.9667,121.9667,33.17,78,100,2.08,overcast clouds
200,Ukiah,US,39.1502,-123.2078,95.43,25,0,10.36,clear sky
201,Nuzvid,IN,16.7833,80.85,73.6,97,56,2.84,broken clouds
202,Leningradskiy,RU,69.3833,178.4167,22.23,72,93,17.87,overcast clouds
203,Kultuk,RU,51.7208,103.6956,36.28,84,83,6.46,broken clouds
204,Teguise,ES,29.0605,-13.564,68.22,73,40,5.75,scattered clouds
205,Miandoab,IR,36.9694,46.1027,57.56,42,0,1.43,clear sky
206,Saquarema,BR,-22.92,-42.5103,73.6,81,70,14.34,broken clouds
207,Xining,CN,36.6167,101.7667,39.99,81,98,0.36,overcast clouds
208,Patrocinio,BR,-18.9439,-46.9925,74.23,31,78,3.87,broken clouds
209,Salalah,OM,17.0151,54.0924,75.29,53,0,4.61,clear sky
210,Beian,NO,63.6559,9.5683,46.0,81,40,19.57,scattered clouds
211,Zhigansk,RU,66.7697,123.3711,21.72,94,100,15.46,overcast clouds
212,Aspindza,GE,41.5739,43.2483,45.07,91,39,1.12,scattered clouds
213,Bekhtery,UA,46.251,32.2927,51.67,43,24,3.31,few clouds
214,Urusha,RU,54.05,122.9,30.79,83,99,2.62,overcast clouds
215,Bad Salzungen,DE,50.8167,10.2333,45.16,82,24,1.99,few clouds
216,Vostok,RU,46.4856,135.8833,30.34,95,25,4.85,scattered clouds
217,Kapaa,US,22.0752,-159.319,84.18,81,100,6.91,heavy intensity rain
218,Byron Bay,AU,-28.65,153.6167,63.95,68,77,12.55,broken clouds
219,Billings,US,45.7833,-108.5007,62.67,46,40,5.75,scattered clouds
220,Roald,NO,62.5833,6.1333,46.54,81,75,11.5,broken clouds
